brand_name,URL
7UP,https://www.7up.com
Absolut,https://www.absolut.com
Actimel,https://www.actimel.es
Activia,https://www.activia.es
Advance,https://www.advance-affinity.com
Agua de Coco,https://www.zico.com
Albo,https://www.albo.es
Alhambra,https://www.cervezasalhambra.com
Alpro,https://www.alpro.com/es
Amaretto Disaronno,https://www.disaronno.com
Ambar,https://www.cervezasambar.com
Amontillado,https://www.amontillado.es
Amstel,https://www.amstel.es
Aperitivos Medina,https://www.aperitivosmedina.com
Aperol,https://www.aperol.com
Aquabona,https://www.aquabona.es
Aquarius,https://www.coca-cola.com/es/es/brands/aquarius
Argal,https://www.argal.com
Argeta,https://www.argeta.com/es
Ariel,https://www.ariel.es
Asturiana,https://www.centrallecheraasturiana.es
Auara,https://www.auara.org
Azucarera,https://www.azucarera.es
Bacardi,https://www.bacardi.com
Baileys,https://www.baileys.com
Ballantine's,https://www.ballantines.com
Barilla,https://www.barilla.com/es-es
Becel,https://www.becel.es
Beefeater,https://www.beefeatergin.com
Ben & Jerry's,https://www.benjerry.es
Beronia,https://www.beronia.com
Bezoya,https://www.bezoya.es
Bifrutas,https://www.pascual.es/marcas/bifrutas
Bimbo,https://www.bimbo.es
Bitter,https://www.coca-cola.com/es/es/brands/bitter
Bombay Sapphire,https://www.bombaysapphire.com
Borges,https://www.borges.es
Brillante,https://www.brillante.es
Buitoni,https://www.buitoni.es
Burn,https://www.burn-energy.com
Cabreiroá,https://www.cabreiroa.es
Cacaolat,https://www.cacaolat.com
Calvé,https://www.calve.es
Calvo,https://www.calvo.es
Campari,https://www.campari.com
Campo Viejo,https://www.campoviejo.com
Campofrío,https://www.campofrio.es
Campos,https://www.conservascampos.com
Capri-Sun,https://www.capri-sun.com
Captain Morgan,https://www.captainmorgan.com
Carbonell,https://www.carbonell.es
Casa Tarradellas,https://www.casatarradellas.es
Castillo de Canena,https://www.castillodecanena.com
Cava,https://www.cava.es
Cervezas 1906,https://www.estrellagalicia.es/cervezas/1906
Cheetos,https://www.cheetos.es
Chivas Regal,https://www.chivas.com
Choví,https://www.chovi.com
Clesa,https://www.clesa.es
Coca-Cola,https://www.coca-cola.com/es/es
Codorníu,https://www.codorniu.com
Cointreau,https://www.cointreau.com
Cola Cao,https://www.colacao.es
Colgate,https://www.colgate.es
Colhogar,https://www.colhogar.es
Coosur,https://www.coosur.es
Corny,https://www.corny.com
Cream,https://www.cream.es
Cruzcampo,https://www.cruzcampo.es
Cuca,https://www.cuca.es
Cuétara,https://www.cuetara.es
Cushe,https://www.cushe.es
Cutty Sark,https://www.cutty-sark.com
CVNE,https://www.cvne.com
Dacsa,https://www.arrozdacsa.com
Damm Lemon,https://www.dammlemon.com
Danacol,https://www.danacol.es
Danet,https://www.danet.es
Dani,https://www.conservasdani.com
Danone,https://www.danone.es
Del Valle,https://www.delvalle.com
Densia,https://www.danone.es/densia
Dodot,https://www.dodot.es
Dogfy,https://www.dogfy.com
Dolce Gusto,https://www.dolce-gusto.es
Domecq,https://www.domecq.es
Don Julio,https://www.donjulio.com
Don Simón,https://www.donsimon.com
Donuts,https://www.donuts.es
Doritos,https://www.doritos.es
Dove,https://www.dove.com/es
Dr. Oetker,https://www.oetker.es
Dulcesol,https://www.dulcesol.com
Durex,https://www.durex.es
Ebro,https://www.ebro.es
El Amasadero,https://www.elamasadero.com
El Caserío,https://www.elcaserio.es
El Pavo,https://www.elpavo.es
El Pozo,https://www.elpozo.com
Espinaler,https://www.espinaler.com
Estrella Damm,https://www.estrelladamm.com
Estrella Galicia,https://estrellagalicia.es
Evax,https://www.evax.es
Fairy,https://www.fairy.es
Fanta,https://www.coca-cola.com/es/es/brands/fanta
Fanta Limón,https://www.coca-cola.com/es/es/brands/fanta
Fanta Naranja,https://www.coca-cola.com/es/es/brands/fanta
Faustino,https://www.faustino.es
Fernet Branca,https://www.fernetbranca.com
Fini,https://www.finicandy.com
Finish,https://www.finish.es
Fino,https://www.fino.es
Flora,https://www.flora.es
Font Vella,https://www.fontvella.es
